team_name,matchday,is_home,odds_win,odds_draw,odds_lose,club_id
Schalke 04,7,False,3.24,3.48,2.21,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,8,False,2.74,3.85,2.36,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,8,True,1.5,4.65,6.08,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,8,False,19.29,10.28,1.11,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,8,True,2.36,3.85,2.74,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,8,False,1.91,3.91,3.76,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,8,True,5.77,4.34,1.55,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,8,True,3.76,3.91,1.91,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,8,True,1.11,10.28,19.29,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,8,False,6.08,4.65,1.5,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,8,True,4.87,4.31,1.64,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,8,False,1.55,4.34,5.77,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,8,False,1.64,4.31,4.87,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,8,True,2.72,3.35,2.62,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,8,False,2.62,3.35,2.72,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,8,False,1.99,3.58,3.77,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,8,False,3.45,3.58,2.09,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,8,True,2.09,3.58,3.45,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,8,True,3.77,3.58,1.99,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,9,True,8.66,6.25,1.3,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,9,True,1.35,5.3,8.36,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,9,False,4.14,3.64,1.89,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,9,False,2.08,3.78,3.28,57a1fdd6-7909-5651-bab2-8f7a70219d06
