,odd_name,db_name,similarity
197,M'gladbach,VfB Stuttgart,0.07692307692307687
198,Mainz,FC Augsburg,0.0
199,Mainz,Schalke 04,0.09999999999999998
200,Mainz,RB Leipzig,0.19999999999999996
201,Mainz,FC Bayern,0.11111111111111116
202,Mainz,Borussia Dortmund,0.11764705882352944
203,Mainz,VfL Wolfsburg,0.0
204,Mainz,Arminia Bielefeld,0.11764705882352944
205,Mainz,Hoffenheim,0.09999999999999998
206,Mainz,Bayer 04,0.125
207,Mainz,Eintracht Frankfurt,0.10526315789473684
208,Mainz,SC Freiburg,0.09090909090909094
209,Mainz,SV Werder,0.0
210,Mainz,Hertha BSC,0.09999999999999998
211,Mainz,1. FC Köln,0.0
212,Mainz,Mainz 05,0.625
213,Mainz,Borussia M'gladbach,0.10526315789473684
214,Mainz,Union Berlin,0.16666666666666663
215,Mainz,VfB Stuttgart,0.0
216,RB Leipzig,FC Augsburg,0.18181818181818177
217,RB Leipzig,Schalke 04,0.0
218,RB Leipzig,RB Leipzig,1.0
219,RB Leipzig,FC Bayern,0.09999999999999998
220,RB Leipzig,Borussia Dortmund,0.05882352941176472
221,RB Leipzig,VfL Wolfsburg,0.15384615384615385
222,RB Leipzig,Arminia Bielefeld,0.11764705882352944
223,RB Leipzig,Hoffenheim,0.19999999999999996
224,RB Leipzig,Bayer 04,0.19999999999999996
225,RB Leipzig,Eintracht Frankfurt,0.052631578947368474
226,RB Leipzig,SC Freiburg,0.36363636363636365
227,RB Leipzig,SV Werder,0.19999999999999996
228,RB Leipzig,Hertha BSC,0.0
229,RB Leipzig,1. FC Köln,0.09999999999999998
230,RB Leipzig,Mainz 05,0.09999999999999998
231,RB Leipzig,Borussia M'gladbach,0.10526315789473684
232,RB Leipzig,Union Berlin,0.16666666666666663
233,RB Leipzig,VfB Stuttgart,0.15384615384615385
234,Schalke 04,FC Augsburg,0.0
235,Schalke 04,Schalke 04,1.0
236,Schalke 04,RB Leipzig,0.0
237,Schalke 04,FC Bayern,0.09999999999999998
238,Schalke 04,Borussia Dortmund,0.05882352941176472
239,Schalke 04,VfL Wolfsburg,0.07692307692307687
240,Schalke 04,Arminia Bielefeld,0.11764705882352944
241,Schalke 04,Hoffenheim,0.0
242,Schalke 04,Bayer 04,0.4
243,Schalke 04,Eintracht Frankfurt,0.21052631578947367
244,Schalke 04,SC Freiburg,0.09090909090909094
245,Schalke 04,SV Werder,0.09999999999999998
246,Schalke 04,Hertha BSC,0.0
247,Schalke 04,1. FC Köln,0.0
248,Schalke 04,Mainz 05,0.30000000000000004
249,Schalke 04,Borussia M'gladbach,0.10526315789473684
250,Schalke 04,Union Berlin,0.08333333333333337
251,Schalke 04,VfB Stuttgart,0.0
252,Stuttgart,FC Augsburg,0.18181818181818177
253,Stuttgart,Schalke 04,0.09999999999999998
254,Stuttgart,RB Leipzig,0.0
255,Stuttgart,FC Bayern,0.11111111111111116
256,Stuttgart,Borussia Dortmund,0.23529411764705888
