,name,matchday,event_type,count
289057,Robert Lewandowski,10,goalAgainst,0
289035,Robert Lewandowski,10,goalAssist,0
289026,Robert Lewandowski,10,goalMissedFar,1
289043,Robert Lewandowski,10,hattrick,0
289027,Robert Lewandowski,10,interception,1
289055,Robert Lewandowski,10,lostPenalty,0
289040,Robert Lewandowski,10,missedChance,0
289052,Robert Lewandowski,10,offside,0
289045,Robert Lewandowski,10,ownGoal,0
289028,Robert Lewandowski,10,pass,14
289044,Robert Lewandowski,10,penaltyGoal,0
289050,Robert Lewandowski,10,redCard,0
289054,Robert Lewandowski,10,savedPenalty,0
289049,Robert Lewandowski,10,secondYellowCard,0
289029,Robert Lewandowski,10,shotAtGoal,1
289030,Robert Lewandowski,10,successfulTackle,3
289033,Robert Lewandowski,10,superPass,0
289034,Robert Lewandowski,10,throwIn,0
289031,Robert Lewandowski,10,unsuccessfulPass,7
289039,Robert Lewandowski,10,unsuccessfulPenalty,0
289032,Robert Lewandowski,10,unsuccessfulTackle,9
289048,Robert Lewandowski,10,yellowCard,0
290009,Robert Lewandowski,11,awardedPenalty,0
290014,Robert Lewandowski,11,blockedGoalShot,0
290010,Robert Lewandowski,11,causedPenalty,0
289988,Robert Lewandowski,11,cross,1
290019,Robert Lewandowski,11,defended,0
290005,Robert Lewandowski,11,doublePack,0
290016,Robert Lewandowski,11,error,0
289989,Robert Lewandowski,11,farCorner,1
289990,Robert Lewandowski,11,foul,1
290001,Robert Lewandowski,11,freeKick,0
289991,Robert Lewandowski,11,goal,1
290020,Robert Lewandowski,11,goalAgainst,0
290000,Robert Lewandowski,11,goalAssist,0
290002,Robert Lewandowski,11,goalMissedFar,0
290006,Robert Lewandowski,11,hattrick,0
289992,Robert Lewandowski,11,interception,4
290018,Robert Lewandowski,11,lostPenalty,0
290004,Robert Lewandowski,11,missedChance,0
290015,Robert Lewandowski,11,offside,0
290008,Robert Lewandowski,11,ownGoal,0
289993,Robert Lewandowski,11,pass,21
290007,Robert Lewandowski,11,penaltyGoal,0
290013,Robert Lewandowski,11,redCard,0
290017,Robert Lewandowski,11,savedPenalty,0
290012,Robert Lewandowski,11,secondYellowCard,0
289994,Robert Lewandowski,11,shotAtGoal,2
289995,Robert Lewandowski,11,successfulTackle,9
289998,Robert Lewandowski,11,superPass,0
289999,Robert Lewandowski,11,throwIn,0
289996,Robert Lewandowski,11,unsuccessfulPass,10
290003,Robert Lewandowski,11,unsuccessfulPenalty,0
289997,Robert Lewandowski,11,unsuccessfulTackle,4
290011,Robert Lewandowski,11,yellowCard,0
290972,Robert Lewandowski,12,awardedPenalty,0
290977,Robert Lewandowski,12,blockedGoalShot,0
290973,Robert Lewandowski,12,causedPenalty,0
290964,Robert Lewandowski,12,cross,0
290982,Robert Lewandowski,12,defended,0
290951,Robert Lewandowski,12,doublePack,1
290979,Robert Lewandowski,12,error,0
290963,Robert Lewandowski,12,farCorner,0
290952,Robert Lewandowski,12,foul,4
290965,Robert Lewandowski,12,freeKick,0
290953,Robert Lewandowski,12,goal,2
290983,Robert Lewandowski,12,goalAgainst,0
290962,Robert Lewandowski,12,goalAssist,0
290966,Robert Lewandowski,12,goalMissedFar,0
290969,Robert Lewandowski,12,hattrick,0
290954,Robert Lewandowski,12,interception,1
290981,Robert Lewandowski,12,lostPenalty,0
290968,Robert Lewandowski,12,missedChance,0
290978,Robert Lewandowski,12,offside,0
290971,Robert Lewandowski,12,ownGoal,0
290955,Robert Lewandowski,12,pass,16
290970,Robert Lewandowski,12,penaltyGoal,0
290976,Robert Lewandowski,12,redCard,0
290980,Robert Lewandowski,12,savedPenalty,0
290975,Robert Lewandowski,12,secondYellowCard,0
290956,Robert Lewandowski,12,shotAtGoal,1
290957,Robert Lewandowski,12,successfulTackle,11
290960,Robert Lewandowski,12,superPass,0
290961,Robert Lewandowski,12,throwIn,0
290958,Robert Lewandowski,12,unsuccessfulPass,11
290967,Robert Lewandowski,12,unsuccessfulPenalty,0
290959,Robert Lewandowski,12,unsuccessfulTackle,7
290974,Robert Lewandowski,12,yellowCard,0
291937,Robert Lewandowski,13,awardedPenalty,0
291942,Robert Lewandowski,13,blockedGoalShot,0
291938,Robert Lewandowski,13,causedPenalty,0
291930,Robert Lewandowski,13,cross,0
291946,Robert Lewandowski,13,defended,0
291915,Robert Lewandowski,13,doublePack,1
291943,Robert Lewandowski,13,error,0
291929,Robert Lewandowski,13,farCorner,0
291916,Robert Lewandowski,13,foul,1
291931,Robert Lewandowski,13,freeKick,0
291917,Robert Lewandowski,13,goal,2
291947,Robert Lewandowski,13,goalAgainst,0
291928,Robert Lewandowski,13,goalAssist,0
291918,Robert Lewandowski,13,goalMissedFar,1
291934,Robert Lewandowski,13,hattrick,0
291919,Robert Lewandowski,13,interception,3
291945,Robert Lewandowski,13,lostPenalty,0
291933,Robert Lewandowski,13,missedChance,0
291920,Robert Lewandowski,13,offside,1
291936,Robert Lewandowski,13,ownGoal,0
291921,Robert Lewandowski,13,pass,11
291935,Robert Lewandowski,13,penaltyGoal,0
291941,Robert Lewandowski,13,redCard,0
