is_home,odds_draw,odds_lose,odds_win,weighted_occurences,team_name_normalized,event_type_normalized,position_normalized
0.0,3.57,2.87,2.38,0.0,9,0,1
1.0,3.91,5.55,1.64,0.0,9,0,1
0.0,4.96,1.45,6.48,0.0,9,0,1
1.0,3.76,2.92,2.28,0.0,9,0,1
0.0,3.8,4.32,1.81,0.0,9,0,1
1.0,3.71,4.12,1.88,0.0,9,0,1
0.0,4.63,1.55,5.45,0.0,9,0,1
0.0,5.48,1.37,7.5,0.0,11,0,1
1.0,3.53,2.84,2.42,0.0,11,0,1
0.0,3.56,2.14,3.37,1.0,11,0,1
1.0,4.35,1.61,5.13,0.0,11,0,1
1.0,4.15,1.67,4.82,0.0,11,0,1
0.0,3.62,2.03,3.61,0.0,11,0,1
1.0,3.48,3.24,2.21,0.0,11,0,1
0.0,3.58,2.09,3.45,0.0,11,0,1
1.0,3.78,2.08,3.28,0.0,11,0,1
0.0,3.46,2.83,2.47,1.0,11,0,1
1.0,3.56,2.82,2.43,1.0,11,0,1
0.0,3.88,1.76,4.55,1.0,11,0,1
1.0,3.3,2.94,2.47,0.0,11,0,1
0.0,10.17,1.11,21.74,0.0,11,0,1
1.0,3.92,1.97,3.51,0.0,11,0,1
0.0,7.2,1.2,13.63,1.0,11,0,1
1.0,3.83,1.86,4.03,0.0,11,0,1
1.0,4.81,1.41,7.57,0.0,11,0,1
0.0,4.11,1.68,4.84,0.0,11,0,1
1.0,3.37,2.28,3.21,0.0,11,0,1
0.0,4.68,1.45,6.7,0.0,11,0,1
0.0,3.96,1.66,5.12,0.0,11,0,1
1.0,3.54,3.49,2.08,0.0,11,0,1
0.0,3.54,3.47,2.11,0.0,11,0,1
1.0,3.32,2.72,2.64,0.0,11,0,1
0.0,3.71,1.92,3.88,0.0,11,0,1
1.0,3.64,4.62,1.8,0.0,11,0,1
0.0,3.26,3.03,2.44,0.0,11,0,1
1.0,3.49,2.89,2.41,0.0,11,0,1
0.0,3.29,3.09,2.38,0.0,11,0,1
1.0,5.81,1.32,8.74,0.0,11,0,1
0.0,4.06,1.83,3.96,0.0,11,0,1
1.0,5.02,1.44,6.61,0.0,11,0,1
0.0,4.3,1.66,4.81,0.0,11,0,1
0.0,3.48,2.62,2.64,0.0,7,0,2
1.0,3.75,2.96,2.28,0.0,7,0,2
0.0,8.27,1.16,15.23,0.0,7,0,2
1.0,3.81,3.33,2.06,0.0,7,0,2
0.0,4.78,1.47,6.34,0.0,7,0,2
1.0,3.47,2.62,2.64,0.0,7,0,2
0.0,3.54,2.91,2.37,0.0,7,0,2
1.0,4.31,1.64,4.87,0.0,7,0,2
0.0,3.87,1.78,4.34,0.0,7,0,2
1.0,3.36,2.76,2.6,0.0,7,0,2
0.0,3.77,1.92,3.81,0.0,7,0,2
1.0,3.88,4.55,1.76,0.0,7,0,2
0.0,3.42,2.6,2.69,0.0,7,0,2
1.0,3.87,4.75,1.72,0.0,7,0,2
0.0,3.58,4.1,1.91,0.0,7,0,2
0.0,3.25,3.29,2.29,0.0,7,0,2
1.0,3.49,3.06,2.31,0.0,7,0,2
1.0,3.4,3.47,2.15,0.0,7,0,2
0.0,3.82,1.79,4.4,0.0,7,0,2
1.0,5.57,1.38,7.09,0.0,7,0,2
0.0,3.55,2.25,3.09,0.0,7,0,2
1.0,3.96,1.68,5.0,0.0,7,0,2
0.0,3.93,1.73,4.65,0.0,7,0,2
1.0,3.47,3.98,1.97,0.0,7,0,2
0.0,4.58,1.5,6.15,0.0,7,0,2
1.0,3.51,2.08,3.5,0.0,7,0,2
0.0,3.22,2.51,2.93,0.0,7,0,2
1.0,3.5,2.26,3.15,0.0,7,0,2
0.0,3.49,2.41,2.89,0.0,7,0,2
1.0,3.61,3.62,2.03,0.0,7,0,2
0.0,4.67,7.0,1.45,0.0,7,0,2
1.0,3.66,4.09,1.89,0.0,7,0,2
1.0,3.28,2.83,2.59,0.0,7,0,2
0.0,3.99,1.94,3.6,0.0,7,0,2
1.0,5.48,7.5,1.37,0.0,12,0,0
0.0,3.65,3.03,2.25,0.0,12,0,0
1.0,6.14,10.84,1.26,1.0,12,0,0
0.0,4.52,5.76,1.53,0.0,12,0,0
1.0,4.78,6.34,1.47,0.0,12,0,0
0.0,3.63,2.96,2.31,1.0,12,0,0
1.0,5.24,8.71,1.35,1.0,12,0,0
0.0,3.91,3.76,1.91,0.0,12,0,0
1.0,6.73,13.07,1.22,0.0,12,0,0
0.0,5.27,1.41,6.77,0.0,12,0,0
1.0,5.24,8.4,1.36,0.0,12,0,0
0.0,4.44,4.54,1.65,0.0,12,0,0
1.0,5.57,9.69,1.31,0.0,12,0,0
0.0,4.0,3.9,1.85,0.0,12,0,0
1.0,3.51,3.05,2.3,0.0,12,0,0
0.0,3.6,3.51,2.06,0.0,12,0,0
1.0,4.2,6.87,1.51,0.0,12,0,0
0.0,4.81,7.57,1.41,0.0,12,0,0
1.0,3.6,4.0,1.93,0.0,12,0,0
0.0,5.39,9.24,1.33,0.0,12,0,0
1.0,5.97,11.32,1.26,0.0,12,0,0
0.0,3.96,5.0,1.68,0.0,12,0,0
1.0,4.19,5.12,1.63,1.0,12,0,0
0.0,3.98,5.04,1.67,0.0,12,0,0
